"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Oct 23 17:01:01 CST 2023","Mon Oct 23 17:01:01 CST 2023","0","","","","","","test_click_appicon[args0]",""
"passed","Mon Nov 13 14:53:06 CST 2023","Mon Nov 13 14:53:11 CST 2023","5292","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args22]",""
"passed","Mon Nov 13 14:38:45 CST 2023","Mon Nov 13 14:38:49 CST 2023","4309","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args10]",""
"passed","Mon Oct 23 17:33:55 CST 2023","Mon Oct 23 17:33:59 CST 2023","4088","","","","","","test_click_appicon[args5]",""
"passed","Mon Nov 13 14:39:05 CST 2023","Mon Nov 13 14:39:11 CST 2023","5983","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args11]",""
"passed","Mon Nov 13 14:38:24 CST 2023","Mon Nov 13 14:38:29 CST 2023","4225","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args9]",""
"broken","Mon Nov 13 14:47:03 CST 2023","Mon Nov 13 14:47:34 CST 2023","31401","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args15]",""
"passed","Wed Nov 22 14:24:08 CST 2023","Wed Nov 22 14:24:12 CST 2023","3898","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args3]",""
"broken","Mon Oct 23 17:59:28 CST 2023","Mon Oct 23 17:59:59 CST 2023","31715","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args14]",""
"passed","Mon Oct 09 12:03:24 CST 2023","Mon Oct 09 12:03:27 CST 2023","2534","scripts","test01_carcenter","TestCarcenter","","","test_open_carcenter[args0]",""
"passed","Mon Nov 13 14:40:16 CST 2023","Mon Nov 13 14:40:19 CST 2023","2890","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args12]",""
"passed","Mon Nov 13 14:52:19 CST 2023","Mon Nov 13 14:52:49 CST 2023","29481","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args21]",""
"passed","Mon Nov 13 14:53:28 CST 2023","Mon Nov 13 14:53:34 CST 2023","5624","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args23]",""
"passed","Mon Nov 13 14:48:39 CST 2023","Mon Nov 13 14:48:51 CST 2023","11570","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args16]",""
"failed","Wed Nov 22 14:26:02 CST 2023","Wed Nov 22 14:26:34 CST 2023","32499","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args4]",""
"passed","Wed Nov 22 14:23:32 CST 2023","Wed Nov 22 14:23:35 CST 2023","3319","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args1]",""
"failed","Mon Nov 13 14:33:54 CST 2023","Mon Nov 13 14:34:27 CST 2023","33122","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args6]",""
"passed","Mon Nov 13 14:50:22 CST 2023","Mon Nov 13 14:50:26 CST 2023","3752","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args20]",""
"passed","Mon Nov 13 14:35:32 CST 2023","Mon Nov 13 14:35:41 CST 2023","9436","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args7]",""
"passed","Mon Nov 13 14:49:59 CST 2023","Mon Nov 13 14:50:06 CST 2023","6894","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args19]",""
"skipped","Mon Oct 23 17:29:06 CST 2023","Mon Oct 23 17:29:06 CST 2023","0","","","","","","test_click_appicon[args5]",""
"broken","Mon Nov 13 14:44:37 CST 2023","Mon Nov 13 14:45:10 CST 2023","32332","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args14]",""
"passed","Wed Nov 22 14:23:12 CST 2023","Wed Nov 22 14:23:16 CST 2023","3898","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args0]",""
"broken","Mon Oct 09 12:04:32 CST 2023","Mon Oct 09 12:04:32 CST 2023","0","scripts","test01_carcenter","TestCarcenter","","","test_open_carcenter[args2]",""
"broken","Mon Oct 09 12:04:00 CST 2023","Mon Oct 09 12:04:00 CST 2023","0","scripts","test01_carcenter","TestCarcenter","","","test_open_carcenter[args1]",""
"passed","Wed Nov 22 14:37:48 CST 2023","Wed Nov 22 14:37:51 CST 2023","3136","scripts","test01_carcenter","TestCarcenter","","","test_open_carcenter",""
"skipped","Mon Nov 13 10:15:06 CST 2023","Mon Nov 13 10:15:06 CST 2023","0","","","","","","test_change_carcenter",""
"passed","Wed Nov 22 14:23:50 CST 2023","Wed Nov 22 14:23:53 CST 2023","3225","scripts","test03_click_appicon","TestCarcenter","","","test_click_appicon[args2]",""
